gender,age_range,country,acct_age_weeks,user_id
male,35 - 44,ES,49,0cb71fe80f9c4dc8a1237d1043267cf8
female,18 - 24,DE,158,2b707d7360d9434bbced392b876c1bdf
male,25 - 29,US,81,ac01bfb887ca48f49469a587b1ada298
male,35 - 44,US,196,c48e4558f5914f0dab2fa52b256f8cb3
female,0 - 17,MX,2,6f35405402c7411c89da66ce3f72d71e
male,25 - 29,AR,69,436e221e4ea74a73b3160bd0f7b43698
female,18 - 24,BG,60,c031b30f8db44b6e9117b8333062e0e2
female,45 - 54,US,38,0a359e0729e14180873bdeb775fcfa0e
male,18 - 24,PH,46,82dd18ed1ec947db9215cc7bc8be1bff
female,55+,SE,189,7c7ea20113034986a95c3b6ae72d0f02
female,55+,US,163,0b57d9260cc1445dbb328fdceeea7892
male,35 - 44,DE,27,cf240e81320f460aa01dc061a196d932
male,18 - 24,MX,22,e945bb8f24584607b57deeb065f0f370
male,45 - 54,IT,115,fe121908917840f19d3e2ec5f5041839
male,55+,DE,7,618337286e39431fa625ce72e143f8e4
male,18 - 24,HK,78,728eccfad4314027886e0fd0f45c0cc3
male,18 - 24,BG,77,4771e035f21241a28d4164dd09988257
female,0 - 17,US,25,4d8e9f4fd249495eb9b819e045b76529
male,55+,US,87,0f9870b817f54133b4994b37b429d010
female,25 - 29,US,66,c981f258af4d4d51a9536a9df89f9337
female,18 - 24,AR,87,1c24c1dd2f864cfea82819b16b063448
female,45 - 54,GB,30,4200845978cc4f908a8fc4e78abb8f88
male,35 - 44,CO,2,6016ae841ac3417d8fbacf7e10c5e325
female,35 - 44,US,38,6c81f8ad89b14e5dbf0d806dacb0fd3b
male,45 - 54,ES,264,aa7f74687ee641ceb6dd11aab201a7da
male,25 - 29,ES,253,806e6e7ec447484d840b2f63e4757ecf
female,35 - 44,HK,117,9d6cd1ff8ebb45838d4c1a5fa8198622
female,0 - 17,US,13,7b840f69f9db44059bf820aa454cab5b
male,35 - 44,NL,169,8e67bf18fc564164ba09cee3c4149623
female,30 - 34,US,182,cff314c6b3a445dc9c92835e90af87f7
female,45 - 54,US,178,ba45e0cb44df424d96086dc0a75abba7
female,25 - 29,CL,52,c1e5e1ca3a7847fb91ca86b9817c563e
female,25 - 29,DE,148,b1d60c24fde841d2a2696e74323fe06d
male,18 - 24,US,154,2606bab2e46f4b668ad38368dd0c0793
female,30 - 34,IT,128,de86e2cf3c2548f290d0cd7aa9be7165
female,35 - 44,AR,7,5e6d796072a04b3f9caeaca933633653
male,55+,ES,15,e34acac5f39e42fe932269588601ff7c
male,25 - 29,GB,210,e7f3736e0d9c414ab8962afcb1ddd833
female,18 - 24,BE,203,7f14d69060054b1db8ba75819f3f7688
male,30 - 34,FI,282,fe8bcfcba82e4e0787e6e277693ca9a8
male,55+,US,43,d5a70479350e48559d265ddd15e88954
male,25 - 29,BR,54,bedaaba6e7054c1697ff0b07a3953559
male,30 - 34,AU,175,d5ce77b5647e43ba832b951c802e0e9d
female,45 - 54,FI,8,586aeac0a846495782f2a69a2809cb37
female,18 - 24,US,28,52dc652561ca44cca2a4975a35d84447
female,0 - 17,FR,22,626b42d1c9f94a40b481da16ca2469a2
